No,text
425,udah lah buat apa ribut² kita fokus msc sama sama kita dukung team Indonesia
426,"di hina tak tumbang
dipuji tak layak 🗿"
427,Terimakasih onic👍
428,ToyY😂😂😂
429,vibe pulang habis kalah tour😔
430,gapapa MPL masih panjang
431,onic rrq pengisi slot msc🥱
432,Cinta itu benar ada buktinya aku masih dukung rrq meskipun dia kalah
433,Ke ingat Selebrasi Toyy🥺🤣🤣
434,"padahal udh disemangati BA pake paha
masih aja kurang"
435,"@𝔞𝔯𝔦𝖊𝖑:kalah kami diam
menang kami tidak pernah 😭"
436,sekali prime langsung angkat piala msc
437,toy belum cocok sbnrnya di MPL
438,awokaowk
439,udh d seting lah brow 🗿 match nya aj sampe gitu 😅
440,inget aja sih kak kata kata onic awal bukan lah akhir main santai aja dulu baru bantai musuh
441,yuka senyum ye😹
442,semangat yah bang kami disini mendukung Indonesia🥰🥰
443,duta runner-up
444,SANS MASIH DIATAS RINZ
445,"aku sonic, tapi semangat buat req yaaa🥰"
446,kaset lama cover baru😅😂
447,mereka blunder di game 5 anjirr
448,ksabar😂
449,"gw onic tapi, kasian lek dyren belum angkat piala"
450,pas 3 2 😜🤪😛😝🥳😏 pas 3 4 😭😤😠😡🥺😢
451,"menurutku sih, rrq gk akan kalah kalo gold lane nya skylar"
452,gada lemon gada tropy
453,onic vs computer
454,"ini bukan waktu nya onic , ini waktu nya kita 🤡
kita kolam"
455,mkan tu duta Runner up🤡🤣🤣🤣
456,min suru rrq mukbang martabak
457,💔
458,@kakakedua noooooooooooooo🥺🥺🥺
459,@ialneed1ms Granger United fc
460,🙂🙂
461,🤟🤟🤟🤟🤟
462,maksih rrq udh jagain piala onic😹
463,#TerimakasihRinz
464,lawan ayam jir🤭 [photo]
465,"Lah kok pada nangis ?? Bukannya udah tauntin², ketawa², merayakan waktu skor 2-3. Jelasin coba jelasin"
466,🥰🥰😂😂💐💐 [photo]
467,tangkap jokowi
468, [photo]
469,[weep][wronged]
470,🥰🥰🥰
471,@Star ✨
472,😂😂😂
473,🥰🥰🥰
474,🥺🥺🥺💪💪🥰🥰🥰❤️❤️🔥
475,🥰
476,😁😁😁
477,😔
478,@🕷️ sedih nyoooo
479,💪💪
480,😂😂😂
481,😂😂😂😂
482,😁
483,🥰
484,😁
485,😭😭😭
486,@Sarah @69 hm
487,🙏
488,🥰
489,😁
490,@merra
491,😫
492,😁
493,🥺
494,😂😂😂
495,🥰
496,@J  FOR    JUSUF🗿
497,😳😳😳
498,🥰
499,😻
500,😋
501,👌
502,😁😁😁
503,😭
504,@snopsnoppyy
505,mana VT yg caster pamitan di game ke 6 min? @mpl.id.official
506,mau tidur malah ke inget 😹🙏 [photo]
507,yaallah malahh diingetin ☹️☹️
508,@baimmm fr
509,😭😭😭😭
510,😂😂😂
511,selebrasi nya mana nih?🤘👉👉👉
512,"@bagusrawal:fakta yg harus diterima
RRQ Tampa adi cuma mentok Runner up sedangkan rrq terakhir juara di pegang sama si Adi
""Adi tolongin Adi"" 🤣🤣🤣🤣"
513,NT tim
514,sedih cok gua🥺🥺
515,"kata org² :mungkin blm rejeki.
kata gua:anj lh ini mah bukan blm rejeki lagi cok, emg rejeki nya aja ga pernah berpihak ke rrq"
516,@J4BRIK. turu
517,kok si toy tinggal diam si kemna taunting mu tadi itu 🤭🤣🤣
518,"day 1 ngeprank orang
day 2 ngeprank orang
day 3 ngeprank orang... selengkapnya"
519,RRQ >>> ARSENAL 🤡🤡🤡
520,gua juga gagal juara ajindjeienrheon
521,tembak tembak toy toy toy? 😝
522,kasian bgt cok liat dyren mskipun gw fams ya ttp respect dyren
523,di kasi 3 poin malah tauntin🤣
524,⊘ 𝘬𝘰𝘮𝘦𝘯 𝘪𝘯𝘪 𝘥𝘪𝘴𝘦𝘮𝘣𝘶𝘯𝘺𝘪𝘬𝘢𝘯 𝘬𝘦𝘳𝘢𝘯𝘢 𝘮𝘶𝘯𝘨𝘬𝘪𝘯 𝘮𝘦𝘯𝘺𝘪𝘯𝘨𝘨𝘶𝘯𝘨 𝘱𝘦𝘳𝘢𝘴𝘢𝘢𝘯 KINGDOM.
525,Arsendal nya mole 🗿
526,DUT DUT
527,Kasian duren 🥺
528,"udah sering bgt ke gini cok rrq di reguler ganas bgt, harus lebih bebenah lagi untuk playoff nya"
529,"shavero:harit,irithel,wanwan
toyy:granger,granger,granger
lawakkk toyy"
530,hari hari jadi badut😭
531,rrq kalah langsung demam jir
532,"@Nee @., come stop the crying and all be alright😂😂"
533,gimana kok kalah rrq🙏❤️😅
534,dont worry in MSC you will cry again againts PH team..i swear😁
535,gimna yaa gw kalo liat rrq kasian tapi pas liat fansnya itu lohh gregett😔😭
536,jangan menghina rrq karna tanpa di hinapun sudah hina
537,tembak tembak toy toy toy toy tembak tembak🗿
538,"kingdom pas 3-2 :
- onik ayam🐓
- bukan era onik lagi
- #9 ez win ini
- 1 gem lg ni bos 😎
- kairi ngapain kairi?
kingdom pas 3-4 :
- rispek lah bang
- hoki
- yeb tolongin yeb
- toxic amat ultras seblak"
539,tembak toy toy toy🤭
540,rrq murungg😹
541,🤣🤣🤣
542,semangat @Team RRQ
543,🤭😹
544,pengen liat @rrq_dyrennn angkat 🏆
545,🥺🥺🥺
546,"sebenernya gue ga mihak sp’, menang kalah adalah hal wajar dalam setiap permainan, jadi ya pasti di akhir permainan ada yang kalah and menang, buat yang menang tetep semangat and jangan sombong, buat yang kalah jangan putus asa and ttep semangat terus, mybe nanti di pertandingan selanjutnya bisa menang, ayo kita saling support satu sama lain, jangan gegabah, jangan komen yang nimbulin war, saling support, tapi ini balik ke diri sendiri mau gimana gue cm ingetin jangan buat keributan, buat rrq atau onic ttep semngt ( inget ya gue ga berpihak ke mana pun )."
547,gw kasian sama dyren coo udah sakit belum pernah ngerasain piala mpl lagi
548,"Nt RRQ & good job ONIC
MSC EWC menanti kalian 👍👍👍"
549,udah biasa lagian udah pernah juara msc lawan blacklist dan echo apalagi lawan Ade adean lokal mah sepele 😂😂😂😩
550,Semangat rrq💪🏻
551,game 7 sutsujin kyak bnyak blunder gk sih
552,"gua kingdom, gpp kalah memang onic pantas juara mereka lebih siap punya mental juara. buat rrq untuk kedepan nya jangan banyakan haha hihi. konsisten itu penting agar bisa membentuk mental juara. semoga rrq dan onic bisa membawa piala buat indonesia. respect🤝"
553,semangat terus idola🔥
554,"respect ban itu perlu, gengsi mulu di utamain"
555,Arsenal nya mobile legend (cuma jagain piala orang) 🥲
556,lgi dan lgi😔
557,"@Cymirr.:BIASAKAN NONTON RRQ SAMPE
▀█▀ █▀█ █░ █▀█ █░
░█░ █▄█ █▄ █▄█ █▄"
558,lucu banget anj nengok komentar kongdom😹
559,"Match ke 6 seharusnya udah kekunci gelar nya sama rrq tapi keliatan banget rrq mulai nafsu finishing nya jadi diambil celah itu oleh onic, sebagai evaluasi🙏🏻 nicetry , comeback stronger kingdom🔥🔥"
560,udh paling benar jangan buka tik tok dulu😄
561,go onic 👍
562,yok season depan kasih main hazle ujin gantian udh 2 season blom juara 😞
563,"kingdom?, jangan panas sama omongan ultras seblak🔥"
564,Congrats RRQ. Back to Back 2nd Place on MPL ID 💀
565,Respect ban pharsa😭😭😭
566,spesialis runner up😌
567,"selagi rrq ga dapetin msc atau m serius ga akan berhenti jadi kindom
Nice try hoshi✨✨✨"
568,"tetep semangat ya rrq!!💪
-fans onic"
569,nt RRQ gg Onic
570,NT rrq GG onic salam respect #🧡💛
571,this onic timee brohh💛⚡🔥
572,kalian udah hebat banget kok gausah nangis bukan salah kalian kok
573,"savero : harit, wan wan, iritel, Claude,
toy : granger, Ganjar, gerenjer, genjer"
574,"TETAP SEMANGAT YAA KINGDOM SEJATI, MASIH ADA GW KOK😊"
575,game was intense 3 straight wins for rrq
576,Pemuja granger🗿🤣
577,"Fans ppq kalu kalah=kalian masih ppq kan?
Kalu menang=udah piala Msc kasih aj ke King ppq
Ngakak 😹"
578,another nt from rrQuit hosh*t
579,"Nice Try, Keep Strong And Comeback Stronger🫂🥹"
580,enak ga scrol tiktok nya?
581,@OhMyyBeee_ konsisten runner up
582,aku tim onic tpi sedih juga lihat rrq klah😭
583,"huhuu,semangat ya rrq hoshi,kami memang merayakan kemenangan,tapi kami selalu respect ama lawan koo,kami ga nyenggol sana sinii,seblak kalo nyenggol kalian mah,hujat aja hujat🥰"
584,nt mulu di final😞
585,"kalah kami diam
menang kami tidak pernah 🤣
menang kami koar koar🗿
apakah itu?"
586,"nt rrq hoshi, season depan kalian pasti bisa"
587,@ㅤ A sorry yak tauting kau sampe hbs respect
588,"Di awal match toyy bilang gini ""gw bakal gantiin skaylar"" nyatanya dia yg blunder Mulu dan toyy dari 3 match pake granjer mulu😏"
589,"Still pround of u team🙁🧡
Comeback stronger next season lovee:)🧡🧡"
590,"⸎ ┈┈┈┈┈▉┈┈┈◢┈ ⸎
⸎ ┈◢▀▉┈▉┈▉┈▉┈ ⸎
⸎ ┈▀▀▉┈▉┈▉┈▉┈ ⸎
⸎ ┈┈┈▉▄▉▄▉┈◤┈ ⸎
yang ga like kristen"
591,kasian lihat rrq kalah 😔😔 semoga season depan bisa menang 🧡
592, [photo]
593,"Raja segala rajaa🔥🔥
di kasih 3 poin dulu biar smngat🤣"
594,2 season kek gtu 😂
595,uda ggg banget rrq keren❤️
596,yang terpenting dia sudah menunjukkan usaha dan gameplay yang sangat bagus bisa dibilang game 3/4 itu sudah termasuk keren bisa membalikan keadaann🔥
597,kasian dyren
598,EL RUNNER UP🙂‍↕️
599,nice try rrq good game onic dri kingdom🙏
600,"pas rrq pick yve game terakhir, udh pasrah langsung tidur😭"
601,gua Sonic tapi kasian sama dyrenn co
602,ONIC berhasil menyelamatkan Banyak orang dari kebisingan HAMA😂😂😅😅😬
603,#2 but still #1 in my heart
604,Dikasih 3 poin buat hiburan badut. 4 poin untuk membuktikan siapa rajanya.
605,"dari sinilah saya percaya...
selamanya rrq
tetap runner-up selamanya amin 😏😏"
606,🥲🧡
607,makan tuh Runner up 😜
608,nice try rrq🤝🏻 -sonic
609,"NT RRQ, GG ONIC🔥 SELAMAT ATAS KEMENANGAN NYA ONIC 💛"
610,Hhhhhhhhhhh
611,RRQ=ARSENAL 😂😂
612,"savero : all Hero marskman
toy : Granger,Ganjar,genjer😜🤭"
613,"kAsHIiAn pPQ 🥺🥺
#ReMONgDok MAraH 🥺🥺"
614,"kalian udah bagus kok gaess.
cuman perbedaan di mental dan jam terbang aja kok.
coach kalian sendiri juga bilang, mental juara belum ada di diri kalian. semangat yah. improve lagi ke depannya. perkuat mental dan kurangin blunder aja udah. semangat rrq🧡"
615,☺️☺️
616,kasian dyrenn cokk
617,udahan ya ppq main raja rajaannya [photo]
618,aku tetap setia sama rrq min🥺
619,it's okay at least you guys did your best🔥🔥🔥🔥
620,harus gw yang turun tangan
621,jangan nangis ren coba lagi next season
622,mainin Skylar pleasee tulang punggung rrq🥺
623,Komenan fans yang saling support 💪😁 [photo]
624,gak papa kan bisa coba lagi yang penting semangat ya
625,seandainya ada satu cowok keluar trs pengganti nya cewek bisa main game Kren habis kyak flim falling into your smile
626,"gg onic, rrq gua runner-up muluu coo😭"
627,keinget selebrasi toy waktu 3:2🤭🤣🤣
628,gp2 rrq kalian keren dan dapat gelar sbagai duta Runner up😁✌️...ITS ONIC TIME🥰🥰.sonic TDR nyenyak
629,"nt rrq, dri sonic smangatt truss👊"
630,they do their best😞
631,hemat fliker🤣
632,gimana nih vens rrq mau bilang apaa lagi? (rrq bantai onic di final mahal) wkwkwk🤣🤣🤣😂
633,mknya jngn kemajuan ngpain cb ngejar sanz Ampe ujung dunia😭
634,"#respectfromsonic, semangat rrq"
635,kasian sama dyren jirr
636,@xii oumeng yunk🥹
637,"NT kindom, Masi ada msc"
638,Mimpi gw bener anjir😭🤣🤣🤣
639,onic အတွက်ဝမ်းသာပေမယ့် rrq အတွက် စိတ်မကောင်းဖြစ်မိတယ်💗😞
640,aku dukung ONIC tapi gk benci rrq semangat rrq masih ada lain kesempatan 😗
641,msih heran sama kingdom yang sering ngehujat rrq kalo pas kalah giliran menang di dewain jir mereka ga sadar napa seberapa keras pemain rrq berjuang ea
642,huuuuu nangisss masuk goa betapa dulu 10th lagi nnti juara pas game nya sepi bismillah 😇
643, [photo]
644,PUASSS BANGET
645,mau ditolongin Yeb juga ga? YEB AMPUN YEB😂
646,gk liat trizla rrq😹
647,"@Valthéris:onic menang tpi ga enak selebrasi berlebih, kayak ada yg beda gitu musuhnya kali ini🥺"
648,isi nya kongdom semua ini sampe caster aja berat sebelah ga seneng banget onic menang😂
649,"masa nya sampe season 9 doang ya, mngt trs rrq, again and again runner up.."
650,rinz banyak”in ngeremehin waktu interview🤣🤣🤣
651,"3 poin untuk menghormati hama
4 poin untuk onic membasmi hama 🫵🏻"
652,"buat rrq tetap semangat jangan pernah putus asa, hanya karena kekalahan gua yakin ko kalian pasti menang tapi belum saatnya, permainan kalian udah bagus dan terus berkembang dan perbaiki kesalahan kesalahan yang pernah kalian lakukan, gua yakin kalian pasti bisa gua juga ikut sedih melihat kekalahan pada MLM ini 😭😭"
653,jd ga tega begini
654,"ggnt guys, pokoknya next tour harus lebih baik dari ini..❤️"
655,bahkan Dyrenn sang pelawak pun bisa nangis Karena gagal😌😌
656,"NT RRQ makasih udah berjuang,kami kindom selalu suport kalian. buat onic selamat ya let's go MSC onic dan rrq bawak pulang piala MSC ke indo lagi ya.."
657,onic ff juara onic ml juara juga jir
658,1200%
659,"ttp nice rrq walaupun aq Sonic dan seneng liat tim kebangga an sendiri menang, cuma ttp ngerasa sedih gimna usaha mereka, gpp rrq Masi ada season depannn😉"
660,coach=pic Granger trus wkwk
661,kalah di 3 final berurut turut itu sakit
662,🥺🥺🥺 SEMANGAT TERUS RRQ🥺🥺
663,"mpl bagus si kalo emang ada room khusus kedap suara di kasih alat buat nonjok sambil triak²,apalagi buat yang perasaanya campur aduk,biar ga terlalu stres"
664,mauu tidur malah keinget selebrasi toyota🗿
665,masih bilang mpl settingan?
666,pround of you onic ❤️
667,Kasian liat lek dyren 🥲
668,udh Runner up mpl 5x aja nih
669,kesingan banget liat dyren nt rrq tetap semngat yee
670,ya Allah muka lek dayren🥺
671,"ɢᴀɴʏᴀɴ ᴋᴀᴍɪ ɴɢ ɴᴀᴛᴀʟᴏᴏᴏ ᴏɴɪᴄ ʙᴀʙᴀᴡᴇ ʟɴɢ ʜᴀʜʜᴀᴀʜᴀʜ🌸😳
ɪ'ʟʟ ᴡɪʟʟ ʙᴇ ʜᴇʀᴇ😳"
672,"kasih ujin jungler tank,kasih diren xp damage,kasih idok hero montage udah tuh"
673,tetep semangat ya rrq walau aku fans onic
674,"walaupun aku sonic, tapi tetep semangat yaa rrq🧡"
675,pertama min
676,"Tetap respect,tapi Onic tadi lawan ayam ya🥺"
677,"Emang bener gua jadi fans 2 tim, ae dan rrq ""Menang ALHAMDULILLAH kalau Kalah yasudahlah"" GG onic nt rrq semoga perwakilan indo dapet piala msc dah itu aja gua mah 🙃"
678,onic lh 😢soal RRQ beban
679,1 momen disini merubah segalanya [photo]
680,BUANG TOYY GAA!!!
681,walaupun aku tim ONIC tp semangat buat RRQ dan buat yg fans rrq jangan sedih
682,duhh bawang lagii bawang lagi🥺🫂
683,KASIH PAHAM DIEWC BOYY
684,😌🥺
685,tetep semangat rrq
686,Baru skor 3:2 udah selebrasi aja😅
687,mana yang bilang sengaja kalah buat bikin strategi next game? muncul ga lu pada?😈😈🔥🔥
688,semangat terus rrq gua sonic mau bilang semoga bisa juara di season dpn dan bawa msc klok bsa
689,kasian ke dyrenn jirr
690,"buset onic yg dari awal kesusahan, tapi saat coach yeb kembali langsung onic berubah drastis apakah dampak coach yeb sebesar itu, memang hebat 👍"
691,GG onic NT rqq tetep semangat
692,"nt rrq, mskipun ga juara tp terimakasih banyak sudah menyajikam match yang super seruu!!! selamat berjuang di EWC💛"
693,yg menang siapapun tetep jadi penikmat mobile legend 🔥 respect buat kedua tim.
694,gw sebenernya respect tapi keinget perlakuan kingdom ke sonic pas #9 pantas aja gitu mana taunting sblm menang lagi😹
695,idok udh dewasa banget sekarang🥰
696,dh penuh ni komen klo ppq menang😂
697,geam penentuan.grenger yang di pakai.
698,kutukan runner up ny disiapa sih anjr😭😭😭
699,"jangan patah semangat rrq, klian udh nglkuin yg trbaik. salam sonic"
700,tetep respect satu sama lain guys🙌🙌
701,"gg onic,nt rrq moga 2tim ini bisa bawa pulang piala msc ke indo☺️🙌🏻"
702,💛🤜🤛🧡
703,seneng banget mlm ini scroll tiktok😆🤣 [photo]
704,gapapa gais siapa tau msc angkat piala+season depan juara🧡
705,gapapa keep strong rrq next msc haruss lebih improve kingdom disini masii aman kok
706,"tetep respect guys, ggwp nt RRQ Hoshi
gg onic"
707,"itu ga jadi Masalh kalian mau menang atau kalah, itu jg wajar dan ga harus menang terus, kalian Masi bisa ngeusahain Untuk bisa lebih baik kedepannya, mungkin kali ini kalian kalah tapi mungkin di tahun berikutnya atau kapan kalian pasti bisa mendapatkan piala itu, semangat terus yahhhh semoga usaha kalian ada hasil yang memuaskan.."
708,"kasian bgt rrq, sekian banyak tim yg gugur cuma rrq yg ga interview ,cuma pamit doang balik badan"
709,kingdom pasti gak terima sonic menang😹
710,game 6 blunder toy mengubah segalanya 😇
711,congrats onicc🥳
712,ONIC NIH BOS SEGOL DONG😎😎
713,semangat rrq
714,"navi puasa:1 season
rrq puasa :6 season
NAVI>RRQ🤭🤭"
715,dream the tim season 15😹😹 [photo]
716,"Masih ad season depan
Tetap semangat rrq hoshi 😁😁"
717,masih gua ungkit siapa sanz this is rinz yak🤡
718,ate ayu spotted
719,Nt nt gaes
720,nice try👏🥀
721,"CONGRATS ONIC🔥
NT AND GGWP RRQ🔥"
722,"14&15 finalist, comeback stronger,keep strong king🔥"
723,liat VT gw bang 🙏
724,sedih min runer up lgii 😞
725,gk nya ka onic yg awal didasar jurang eh ternyata menang
726,Maka decide Nayan sila lumipat sa iBang team 🥹
727,NT mas
728,yey onic menang
729,"nt buat rrq
gg buat onic
🙏"
730,still congrats to rrq especially the winner ONIC!!
731,😭😭😭😢😢😢😢
732,congrats onic🔥💛🧡
733,runner lagi gitu lagi g bosen apaa
734,Game 7 They lost because of RINS error the mage was killed got pick up by Sanz Pharsa while the lord is approaching the Yve is dead haha😆
735,nt lek dyreen😌
736,"gw si,evos"
737,chen?
738,another nice try again comeback stronger from rrq hahaha
739,dayren gagal lagi
740,Haya darksistem di pake🗿
741,"hapus aja rrq dri mpl, badut doang😹🤭"
742,Rrq butuh midlane ga?
743,uda terbiasa runner lama lama uda gasakit hati kan?[yummy]
744,karena king skylar gk main 😾
745,😜😜😜
746,comeback stronger love💕
747,rinzzzz🥺🥺🥺
748,pacarku galau tapi aku recal'🤭🤗
749,":ya Allah lindungilah saudara-saudari kami yang berada di Palestine🤲🤲
#FREEPALESTINE🇵🇸🇵🇸
#SAVEPALESTINE🇵🇸🇵🇸
#ALLEYESSONRAF"
750,siapa yg di sini ea
751,နာအိုမိမပါလို🥺🥺
752,hari hari runner up
753,El Runner up
754,cry rrq 😭😭😭
755,ONIC VS AI😹
756,gw sonic tpi gue kasihan kiat dyreend
757,bsk2 kalo udah beneran menang baru taunting🤣🤣kalo gini kn jadi malu
758,whaahwhwhaa
759,semangat rrq
760,mainin Skylar
761,"heran kalah di final mulu,tapi gapapa nicetry for RRQ kuuu 🥺🌹"
762,nete ppq
763,baxia
764,taunting no 1 menang no 2 ya 🙂🙏
765,dah ketebak pas kalah game ke 6
766,GGNT RRQ💪🏻
767,semoga season depan runner up lg😭😭
768,"padahal udah berharap bnget, gw g yakin si di msc bisa menang, makanyaaa berharap bnget rrq menang di mpl s15,"
769,team lokal🗿
770, [photo]
771,GA TIDUR GUA 😭
772,duta runner ap😂
773,sutsujin fault
774,Rrq hiding start for mpl id season 20
775,gw sonic mengucapkan TETEP SEMANGAT ANGKAT KEPALA MU JANGAN PUTUS ASA YA
776,🤣🤣🤣
777,"min,
gua mau tidur cuman inget selebrasi toyy 😂😂"
778,😁
779,"semoga kedepannya lebih baik lagi
#salamdarisonic💛"
780,sedih banget sumpah 😭
781,abang²an vs ade²an
782,🔥
783,tetap semangat RRQ
784,"benci gua ,grenjer pus mmr 🥹😭🥹😭😭🥹😭🥹😭🥹😭"
785,Nt RRQ
786,"its ok, next harus lebih baik lagi ya RRQ❤❤"
787,yeb effect
788,udah ya king king an nya🤣
789,#SUTSUJINOUT
790,😳
791,gua yang sering Runner up turnamen warkop aja sedih nyesel apalagi ini yang sekelas pro player 😭
792,bangga pada onic tanpa menjatuhkan rrq☺️
793,kebiasaan rrq udah selangkah lagi
794,tetep rrq🖤
795,🤭
796,"@MRF:waktu 3-2 : onic ayam onic ayam🐔🐓
waktu 3-4 : kalian masih rrq kan🥺🥺"
797,"semangatt rrq, kedepan nya lagi pasti bisa💪🏼💪🏼💞"
798,nice Try RRQ
799,ujin dark sistem☺️
800,🥰🥰🥰
801,onic ngepur cuma 1 season🗿
802,😁
803,kalah menang tetep RRQ
804,and it happened again.
805,makanya fans rrq jangan sombong...stay humble fans rrq
806,cursed taunt
807,day 43 recal2 depan sanz🗿 [photo]
808,tujuan rrq dimpl Runner up 😹🥺
809,"masi ada season depan,comeback stronger😔"
810,Gapapa ko gapapa udah biasa kaya gini
811,"respect guys ,nt RRQ"
812,semangat rrq kalian kerenn 💪
813,fans onic bilang rrq brisik loh ini yg lgi koar koar siapa lgi klo bukan fans onic
814,Arsenal
815,"@key:pas 3-2 : ""onic ayamm"" (buat jj) 🤡🐔🐓🐥
pas 4-3 : ""kalian masih kingdom kan?""🥹🥹
mau ketawa takut di hujat bocil ppq 😹🤓🤡🤫"
816,gk PP kalian udah keren kok🥰
817,nik sonik
818,mau sedih liat rrq tapi hidup gw lebih sedih😀
819,"🥺 in the midle of june 😭😭 n so much memories, we'll still here with u dont cry 🥺🥺🥺"
820,banyak banyakin selebrasi lagi bwang🗿
821,"knp dari dulu rrq nt nya di final trus gua pengen ngeliat rrq ngangkat piala lgi
Skyler comback lh tolong kmi"
822,keep strong
823,lokal lokal lokal😹
824,😂
825,tetap semangat rrq salam dari Sonic
826,Yaww memang kalah tetap rrq 🔥
827,kayak Arsenal raja Runner up🗿
828,perasaan kemaren fans onic gk serame ini dah
829,keep strong rrq💛
830,nangus gue anj
831,kalah di final lagi😭
832,Runner up dapet hadiah ga sihh😳
833,tetap semangat untuk RRQ 🔥
834,"wkwkwk blunder match 6sih🤣
sabar"
835,yamayamayamyamayam
836,Rinz pusing gendong ppq😹😹
837,woi duit gua🗿
838,nt lek dyren
839,ini wiktinyi kiti bikin inic😹😹
840,ibarat nya qrr ini adalah mu 😂
841,kasian bet ni tim anjir jadi runner-up Mulu 😹😭
842,lupa klo ada game 4 msih game 3 pada slebrasi smua😅
843,keep strong🔥
844,nice try rrq msih ada season depan semngt trs respect dri sonic 🔥💛
845,tumben baik komen fans rrqq😂
846,Jan sedih2 ya RRQ! Tetap semangat ya!💪🏻💪🏻#teamonic🦔💛
847,padahal dikecewain berkali kali tapi ttep aja gabisa berpaling dari tim ini
848,kasian sama lek dyren karna blm pernah angkat piala 🥺
849,plis season depan runner up lagi biar hattrick😭😭😭😭
850,Congrats onic
851,Gw sonic bgt tapi gk tega liat ny semangat yaaa RRQ dan kingdom🙏🏻🙏🏻
852,"gas M6, apakah indo mengalahkan dominasi PH. udah berseason2 mereka menang kita kapan?"
853,comeback stronger always 😂
854,onic menyelamatkan kita dari bisingnya para hama😹
855,Kings of Runner Up
856,mpus
857,gilaa sih coach yeb emang se berpengaruh itu
858,🥰🥰🥰
859,"menurut gua kalah ini emang gara gara draft yang berfokus sama toyy doang sih, karena hero dia yang itu itu aja jadi draft sisa tim nya harus nyesuain terutama grangernya."
860,"no rispek
waktu 2-0 3-2 kita di caci habis habisan"
861,"gua kasian sama rinz , dia mau setengil Sanz tapi dia ga SE derajat skill nya 😢"
862,BBQ 🥶🥶
863,🤣🤣🤣
864,"dan terjadi lagi, kisah lama yang terulang kembali😔"
865,mau makan tiba tiba keinget toy tembak tembak ke kamera😹😹
866,rrq semangat guys 🥰🥰
867,"2x 4-3 jir, GPP lah namanya juga game ada menang kalah"
868,dari awal juga gamau berharap lebih kalo rrq udah di final
869,😢😢😢
870,rrq gak ada Skylar 🥀
871,"nt, belum rezeki ajaa"
872,akuu
873,sebenarnya aku seneng onic menang tapi aku kasian sama rrq. ngerti ngga si? 😭
874,game 6 daming error lamang na sana ayaw Maka pigil sa kill nasa isip champ na eh😅
875,sutsujinn km tetepp kerennn !!!
876,mencintai onic tanpa membenci RRQ 🤝
877,kasian dyren cok🥺🥺🥺
878,sonik gua bang pindah
879,😳
880,"#9 to #1🙂..
#1 to #2😂"
881,udah kebal🗿
882,Ga benci rrq tapi benci fans nya
883,llq
884,Tetap semngattt RRQ tetap King dom sejati kalah menang 🥰🥰🥰🫶🏻🧡🧡
885,"selamat ya onic GG, sanz nya jago banget😇"
886,Onic apa ga cape juara mulu
887,NT Semangat #ViviRRQ 💪🏼🧡🔥🔥
888,occop tei rrq jangenam
889,NT NT rrq
890,"Nt rrq, masih tetap rrq♥️"
891,"aku sonic,btw buat rrq semangat selalu ya👍❤️"
892,"Yang menang siapa, yang fyp tetep rrq 😮‍💨"
893,suka banget Runner up heran...
894,"@Renzooo:BIASAKAN NONTON RRQ SAMPE
▀█▀ █▀█ █░ █▀█ █░
░█░ █▄█ █▄ █▄█ █▄"
895,@HOAXxx++ 🗿🤭🤭🤭
896,kami rrq kami pamit🫡
897,rrq ni mmg badi eh🗿
898,udh kyk arsenal duta runner-up 😥
899,"""Gue kingdom gue pamit “ saatnya #alterchamps"
900,"gua tim onic, but tetap semangat yaaa rrq!! 🔥"
901,nt🤗🤗
902,kapan juaranya dasar ayam🗿
903,😌
904,Aaaaa 🥺🥺
905,satpam tropy semangt trus
906,"trio kiboy sanz dan kairi ternyata masih kuatt, rrq cuman kalah d mental aja, kalo main bisa imbangin seru juga."
907,"kemarin runner up sekarang runner up juga😪, Jo versi tim inimah"
908,nama gw bagus ga😁
909,ntar pasti ada yg di farewell
910,respect buat rrq
911,lek dyrenn😔
912,udah kambek eh di kambekk lagii🗿
913,gg
914,sabar lek dyren season depan pasti dapat moga gak runner up lagi semangat lekk
915,"sonic dewasa dalam menang
bila rrq menang apakah kingdom bisa respeck ?"
916,"kalau di inget"" season kemarin onic ph yang juara, di indo tlid yang juara, tapi season sekarang onic id yang juara, tlph yang juara🗿"
917,congrats onic salam dari kingdom
918,cape bat jadi kingdom + manchester united
919,@Riswan sampai mana sedihnya
920,"nt RRQ, next season be better, improve lagi dan harus konsisten"
921,"nice try untuk RRQ HOSHI, SEMOGA SEASON depan juara"
922,izin ambil vt min🗿👍
923,onic menjadikan MPLI liga tani😅
924,plis rinz mid berani maju tpi kadang jdi blunder
925,arsenal cabang emel
926,taunt pa
927,KING OF HEART🥺
928,"aowwkowwo tembak"" toyy toyy toyy"
929,dyren🥺😭
930,rasanya pengen banget liat dryen juara....
931,nice try rrq 👑🧡
932,RRQ r nya runner-up
933,keep strong RRQ kita bisa dpt piala itu tapi tidak skarang🧡
934,Masih mau pick baxia 🤭🤭
935,toy hnya bisa 1 hero
936,terimakasih RRQ
937,"akuu dukung onicc✨,tapi semangat rrq"
938,KAPAN ALLRIGHT NYA
939,rrq ml udh kan sekarang ganti rrq epep🗿🗿
940,intinya blunder di match 6 🗿
941,Ler tolong lerrrr🤧
942,😳
943,nt rrq
944,"makin deras aj nih genteng rumah gw,eh ternyata tangisan para rrq"
945,itu ada yuka jadinya kalah🗿
946,🤭
947,Tetep juara di hati smngt seng🫶🏻🥰
948,AE season depan otw tsunami trophy🌊🔥
949,😊
