No,text
82,"dua kata lucu ""BAXIA EXP"" dari first pick baxia,gua udh bisa nebak bakal kalah.dyren gg di hero moment,idok di hero2 tank yg bisa culik. yg lain finishing.malah di kasih hero badan.jadi taman bermain onic 😌
sebelumnya baxia di pake onic gak bisa ngapa2in.malah di pick.first pick lagi hadehh"
83,udh dikasih 3 itu biar seru game nya 🙈🙈🙈
84,"respect rrq,menyukai evos bukan berarti membenci rrq,jujur gua sedikit sedih dan gua tau ini menyakitkan buat para player dan kingdom,karna perjalanan kalian bukan hal yg mudah,apalagi b2b jadi runner-up selama 2 season ini,intinya kalian sudah melakukan yg terbaik buat para kingdom,dan kalian ttp yg terbaik di mata kingdom,applaus buat para player mpl yg sudah berjuang selama season ini berjalan,semangat terus rivalku,salam dari fams🥰"
85,"its oke dari 2-0 sampe 4-3 itu perjuangan yg sangat bagus, NT KING🔥"
86,master sprinkle on stock
87,sad
88,ONIC vs bot 💀
89,runner up🙀
90,sometimes we win sometimes we lost but don't forget why we start..
91,yeb effect bro from bottom to champions
92,yess congratulations indo onic's ❤️
93,RRChoke
94,Feel bad for sutsujin
95,Kingdom is falling 🤣🤣
96,what time is it?
97,comeback stronger😂🤣
98,respect ☹️
99,comeback stronger king next season 🔥
100,push MMR @@
101,Hoshi vs everybody 😎
102,Remember the battle is not over yet MSC is the final destination
103,im still kingdom rrq
104,What time is it?
105,nice try team🥹
106,anyway I like those girls 😝 pretties
107,its onic time😏
108,"Granger
granger
granger 🔥😅"
109,arsenal🤣😂
110,nt king
111,change name RRQ
112,they dont have what it takes😂 to be champ
113,el runnerup
114,keep strong kingdom 🤗
115,Hahahah 2nd place meta
116,comeback stronger king
117,keepp stronger rrq ✨
118,Again and again
119,"diren2. coba lu ga napsuan ngejar si sanz game ke 6. ga bakal snowball&dicomeback kan. padahal udh menang dmg tinggal sabar ninggu lord. udh dikasih pesen ama r7 kmren. fokus turet, maen objektif, jgn kebawa hype. nyesel kan ga jd angkat piala baru. wkwk"
120,onic vs ai
121,"Udh capek dari season 12 gonta ganti roster,tapi selalu ending #2 ,Mana game 3-3 masih aja lepas PHARSA DAN MAKE BAXIA GATOT ,NGAPAAINNN??????????😭"
122,"padahal FF suka di bilang game bocil , tapi kemarin ONIC esport FF juara ,fans"" lain respect terhadap onic ,eh ini di ML fans"" nya kaya bocil semua 🤭 ga ada yg saling respect
gw pecinta esport apapun itu ,lucu aja di liat fans di ML ini 😂😂"
123,"keep strong buat para kingdom,walaupun tim kesayangan kalian mainnya udah bagus sama kuat buat nyaingin onic, masih ada season depan guys, semangat dukung tim kalian, big respect dari fansonic👏👏"
124,"0-1 = latihan
0-2 = pemanasan
2-1 = ngasih point lawan
2-2 = biar senang
2-3 = ngetes mental
3-3 = panik
4-3 = uda tau kan siapa rajanya"
125,"setia rrq walau kalah nt yaa, kingdom setia sampai kapan pun🥰"
126,onic menyelamatkan dunia dari kebisingan
127,"respecttt yaaa pleaseee, congrats buat onic juara lagi, buat rrq nt, siapa tau kalian ngangkatnya piala msc💛🧡"
128,"gw sonic, tpi ga tega liat lek dyren sumpah"
129,"""Season terburuk Onic"" vs ""Season kebangkitan RRQ"" 😹🤣🤣"
130,"soal juara 1 rrq juara 2
soal juara 2 rrq juara 1
(santai gw kingdom jg)😹😹"
131,suka sedih lihat dyren nangis☹️
132,gatau mau ngetik apa tapi gua terus dukung tim ini🧡
133,onic nih cabang mana aja lagi gacor
134,ga bisa tidur tenang😭😭
135,"be strong rrq🧡💛
mencintai onic tanpa membenci rrq"
136,"padahal uda mau 4-2 tadi
eh ada aja yg blunder 🤣🤣"
137,semangattt rrqq
138,diatas langit masih ada onic🥰
139,puasa juara lagi😌
140,kalian masih komdon kan?? 😸😸😸
141,1 kata dari kingdom(kalian masih RRQ kan pake emot 🥹🥹) 🤣🤣🤣🤣
142,"Permisi, Pancing dikit ah, Sanz>Rinz 🙏🙏"
143,"sedih bet dyren rinz idok udh klh final mdl, klh final mpl 2x 😌😌😌😌"
144,onic kepencet vs ai
145,kasian bgt Dyrennn🙂
146,🤭 [photo]
147,seketika fans onic jadi banyak😹
148,why we team final always loss😭😭
149,NT BOYSS
150,x5 come back stronger 😂
151,kasian sama mukanya rinz😔
152,gapapa keep strong rrq next msc haruss lebih improve kingdom disini masii aman kok
153,yang win onic kah?
154,tetap kingdom kan ?
155,banyak-banyakin selebrasi dah😹
156,kalau ada skylar win tu 🗿
157,:always support Hoshi apapun yg terjadi hati ini tetap RRQ HOSHI. goo hoshi masi ada msc kalah menang kingdom akan slalu support kalian😊😊
158,udh berapa kali ginii..
159,"ngapain maenin toy udh jelas' bagusan skylar, dari segi gameplay juga skylar udh dblng di atas rata' mm yg ada di mpl, udh gitu hero pool nya juga banyak bukan granger doang🤭"
160,is that ate Uayfu? yung naka upo
161,mencintai onic tanpa membenci rrq🥰
162,nt gys
163,ONIC membuat perang sosmed tidak jadi 😹🙏
164,"gua cuma kasian sama dyren, he deserved win 😔"
165,yeb ampun yebb
